=========================================================
Starting log: Fri Sep  4 09:37:00 2009
=========================================================
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData...begin (write 132 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData: 132 bytes written
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	begin (45745)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			_receivePacketSync...begin (45745)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	We received the PI_IN_PROGRESS.
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	end
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			_receivePacketSync...begin (45745)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the data... (4 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:938 				readSocketData...begin (read 4 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:942 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_serialNumGetPacket:2000 			begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::BFconnect:149 					connect...exit
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::storefwVersion:150 				begin
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::encrypt:1094 				encrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::encrypt:1103 				encrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_handleSyncResponse:931 			Sending packet
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				write_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				writing 130 bytes
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData...begin (write 130 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData: 130 bytes written
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	begin (45746)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			_receivePacketSync...begin (45746)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	We received the PI_IN_PROGRESS.
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	end
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			_receivePacketSync...begin (45746)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the data... (136 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:938 				readSocketData...begin (read 136 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:942 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_fwHeaderPacket:2000 				begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::storefwVersion:4447 				begin
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::encrypt:1094 				encrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::encrypt:1103 				encrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_handleSyncResponse:931 			Sending packet
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				write_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::write_packet:1963 				writing 130 bytes
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData...begin (write 130 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData: 130 bytes written
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	begin (45747)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			_receivePacketSync...begin (45747)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	We received the PI_IN_PROGRESS.
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	end
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			_receivePacketSync...begin (45747)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::read_packet:1533 					Read the data... (136 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::readSocketData:938 				readSocketData...begin (read 136 bytes)
Fri Sep  4 09:37:03 2009 XIOTech::xiotechPackets::decrypt:942 				decrypt...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			validating xiotech packet...
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:03 2009 XIOTech::cmdMgr::_fwHeaderPacket:2000 				begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::physicalDisks:7549 				begin
Fri Sep  4 09:37:05 2009 XIOTech::xiotechPackets::encrypt:1094 				encrypt...begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_handleSyncResponse:59 			Sending packet
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::write_packet:1963 				write_packet begin...
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::write_packet:1963 				writing 128 bytes
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData...begin (write 128 bytes)
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData: 128 bytes written
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	begin (45748)
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			_receivePacketSync...begin (45748)
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:05 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			validating xiotech packet...
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	We received the PI_IN_PROGRESS.
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	end
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			_receivePacketSync...begin (45748)
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:37:05 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::read_packet:1533 					Read the data... (7996 bytes)
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::readSocketData:938 				readSocketData...begin (read 7996 bytes)
Fri Sep  4 09:37:05 2009 XIOTech::xiotechPackets::decrypt:942 				decrypt...begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			validating xiotech packet...
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::_physicalDisksPacket:2000 		begin
Fri Sep  4 09:37:05 2009 XIOTech::cmdMgr::displayPhysicalDisks:7556 		begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::deviceStatus:1486 				begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::physicalDisks:529 				begin
Fri Sep  4 09:38:59 2009 XIOTech::xiotechPackets::encrypt:1094 				encrypt...begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_handleSyncResponse:59 			Sending packet
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::write_packet:1963 				write_packet begin...
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::write_packet:1963 				writing 128 bytes
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData...begin (write 128 bytes)
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData: 128 bytes written
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	begin (45749)
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			_receivePacketSync...begin (45749)
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:38:59 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			validating xiotech packet...
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	We received the PI_IN_PROGRESS.
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	end
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			_receivePacketSync...begin (45749)
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:38:59 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::read_packet:1533 					Read the data... (7996 bytes)
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::readSocketData:938 				readSocketData...begin (read 7996 bytes)
Fri Sep  4 09:38:59 2009 XIOTech::xiotechPackets::decrypt:942 				decrypt...begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			validating xiotech packet...
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::_physicalDisksPacket:2000 		begin
Fri Sep  4 09:38:59 2009 XIOTech::cmdMgr::displayDeviceStatus:1492 			begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::physicalDiskDefragStatus:8199 	begin
Fri Sep  4 09:39:43 2009 XIOTech::xiotechPackets::encrypt:1094 				encrypt...begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_handleSyncResponse:235 			Sending packet
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::write_packet:1963 				write_packet begin...
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::write_packet:1963 				writing 128 bytes
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData...begin (write 128 bytes)
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::writeSocketData:854 				writeSocketData: 128 bytes written
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	begin (45750)
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			_receivePacketSync...begin (45750)
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:39:43 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_receivePacketSync:1449 			validating xiotech packet...
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	We received the PI_IN_PROGRESS.
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_processCommandInProgress:1976 	end
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			_receivePacketSync...begin (45750)
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::read_packet:1533 					read_packet begin...
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::read_packet:1533 					Read the header... (128 bytes)
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::readSocketData:906 				readSocketData...begin (read 128 bytes)
Fri Sep  4 09:39:43 2009 XIOTech::xiotechPackets::decrypt:915 				decrypt...begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::read_packet:1533 					Read the data... (4 bytes)
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::readSocketData:938 				readSocketData...begin (read 4 bytes)
Fri Sep  4 09:39:43 2009 XIOTech::xiotechPackets::decrypt:942 				decrypt...begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_receivePacketSync:1986 			validating xiotech packet...
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_validateXiotechPacket:1539 		_validateXiotechPacket...begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::_pDiskDefragStatusPacket:2000 	begin
Fri Sep  4 09:39:43 2009 XIOTech::cmdMgr::displayPDiskDefragStatus:8205 	begin
Fri Sep  4 09:39:55 2009 XIOTech::cmdMgr::beDevicePaths:9998 				begin
Fri Sep  4 09:39:55 2009 XIOTech::xiotechPackets::encrypt:1094 				encrypt...begin
